来源,食谱,原料,原料类别,类型,营养状态,营养状态名,当前制备方法,问题数,最高严重度,问题类型,说明,建议修法
正式食谱,好久 的鲜食食谱 06/15,亚麻籽,坚果种子类,FOOD,DRIED,干,打粉后充分搅拌,1,中,B5 非标准词,自由文本：打粉后充分搅拌,归入受控词表或补进字典
正式食谱,好久 的鲜食食谱 09/06,西兰花,蔬菜类及制品,FOOD,RAW,生,打碎、静置30分钟、焯水沥干、称重、充分搅拌,3,中,B5 非标准词 + A2b 生档案却写熟制步骤 + A4 同原料口径不一致,自由文本：焯水沥干 / 称重；档案用生数据，步骤却含焯水/蒸煮；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；确认是口径写错还是档案选错；统一口径
正式食谱,小瓜 的鲜食食谱 07/02,菠菜,蔬菜类及制品,FOOD,COOKED,熟,焯水、沥干后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
正式食谱,小瓜 的鲜食食谱 07/02,亚麻籽,坚果种子类,FOOD,DRIED,干,打粉后充分搅拌,1,中,B5 非标准词,自由文本：打粉后充分搅拌,归入受控词表或补进字典
正式食谱,小瓜 的鲜食食谱 07/15,芦笋,蔬菜类及制品,FOOD,COOKED,熟,去皮、煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
正式食谱,小瓜 的鲜食食谱 07/15,燕麦,谷类及制品,FOOD,DRIED,干,无添加即食燕麦、打碎、充分搅拌,2,中,B6 商品属性写进步骤 + B5 非标准词,这些片段不是厨房动作，而是商品属性：无添加即食燕麦；自由文本：无添加即食燕麦,移到原料规格/备注，不放在制备说明；归入受控词表或补进字典
正式食谱,小米三文鱼猪里脊(幺鸡),小米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,小米三文鱼猪里脊(幺鸡),紫薯,蔬菜类及制品,FOOD,COOKED,熟,去皮，煮熟后称重,2,中,B2 分隔符不规范 + A3 熟档案未写口径,用了半角逗号；没写按生重还是熟重称量,统一改为顿号「、」；补「熟重」
正式食谱,小米三文鱼猪里脊(幺鸡),胡萝卜,蔬菜类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,小米山药猪肉 (副本),猪肝,畜肉类及制品,FOOD,RAW,生,去油、生重、焯水、打碎、充分搅拌,1,中,A2b 生档案却写熟制步骤,档案用生数据，步骤却含焯水/蒸煮,确认是口径写错还是档案选错
正式食谱,小米山药猪肉 (副本),猪肝,畜肉类及制品,FOOD,RAW,生,去油、生重、焯水、打碎、充分搅拌,1,中,A2b 生档案却写熟制步骤,档案用生数据，步骤却含焯水/蒸煮,确认是口径写错还是档案选错
正式食谱,小米山药猪肉 (副本),生蚝,水产类,FOOD,RAW,生,去壳、生重、焯水、打碎、充分搅拌,1,中,A2b 生档案却写熟制步骤,档案用生数据，步骤却含焯水/蒸煮,确认是口径写错还是档案选错
正式食谱,小米山药猪肉 (副本),生蚝,水产类,FOOD,RAW,生,去壳、生重、焯水、打碎、充分搅拌,1,中,A2b 生档案却写熟制步骤,档案用生数据，步骤却含焯水/蒸煮,确认是口径写错还是档案选错
正式食谱,小米山药猪肉 (副本),生菜,蔬菜类及制品,FOOD,RAW,生,生重、焯水、打碎、充分搅拌,1,中,A2b 生档案却写熟制步骤,档案用生数据，步骤却含焯水/蒸煮,确认是口径写错还是档案选错
正式食谱,小米山药猪肉 (副本),生菜,蔬菜类及制品,FOOD,RAW,生,生重、焯水、打碎、充分搅拌,1,中,A2b 生档案却写熟制步骤,档案用生数据，步骤却含焯水/蒸煮,确认是口径写错还是档案选错
正式食谱,小米山药猪肉 (副本),花椰菜,蔬菜类及制品,FOOD,RAW,生,"d43edd90-867d-4e11-8662-a5b68da1a4fc, 76b12041-3a5e-4aaf-b605-6f2648275ad1, ee521572-239b-46a9-a206-bed5b5246433, 5faa5c79-f01f-4f45-876c-57cceb1b9db0, a54a1be3-e846-4439-a316-95d77b4a016a, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",1,中,B1 机器码残留,文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,按字典还原为标准词（18/19 可确定性还原）
正式食谱,小米山药猪肉 (副本),花椰菜,蔬菜类及制品,FOOD,RAW,生,"d43edd90-867d-4e11-8662-a5b68da1a4fc, 76b12041-3a5e-4aaf-b605-6f2648275ad1, ee521572-239b-46a9-a206-bed5b5246433, 5faa5c79-f01f-4f45-876c-57cceb1b9db0, a54a1be3-e846-4439-a316-95d77b4a016a, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",1,中,B1 机器码残留,文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,按字典还原为标准词（18/19 可确定性还原）
正式食谱,小米鳕鱼鸡胸,秋葵,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,小米鳕鱼鸡胸,秋葵,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,小豆 的鲜食食谱 08/27,西兰花,蔬菜类及制品,FOOD,RAW,生,生重、打碎、静置30分钟、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,小豆 的鲜食食谱 08/27,白萝卜,蔬菜类及制品,FOOD,RAW,生,生重、打碎、静置30分钟、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,小豆 的鲜食食谱 08/27,红小豆,谷类及制品,FOOD,COOKED,熟,浸泡12小时、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,小豆 的鲜食食谱 08/29,西兰花,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,小豆 的鲜食食谱 08/29,秋葵,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,小豆 的鲜食食谱 08/29,秋葵,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,小豆 的鲜食食谱 08/29,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,小豆 的鲜食食谱 08/29,藜麦,谷类及制品,FOOD,RAW,生,生重、打粉、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,山药 辅食,胡萝卜,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,山药 辅食,白萝卜,蔬菜类及制品,FOOD,RAW,生,去皮、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,山药 辅食,西兰花,蔬菜类及制品,FOOD,RAW,生,打碎、静置30分钟、焯水沥干、称重、充分搅拌,3,中,B5 非标准词 + A2b 生档案却写熟制步骤 + A4 同原料口径不一致,自由文本：焯水沥干 / 称重；档案用生数据，步骤却含焯水/蒸煮；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；确认是口径写错还是档案选错；统一口径
正式食谱,布丁定制食谱,西兰花,蔬菜类及制品,FOOD,COOKED,熟,打碎、静置30分钟、焯水沥干、称重、充分搅拌,3,中,B5 非标准词 + A3 熟档案未写口径 + A4 同原料口径不一致,自由文本：焯水沥干 / 称重；没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；补「熟重」；统一口径
正式食谱,布丁定制食谱,胡萝卜,蔬菜类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,布丁定制食谱,南瓜,蔬菜类及制品,FOOD,COOKED,熟,去皮、去瓤、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,帽帽 的鲜食食谱 07/10,西兰花,蔬菜类及制品,FOOD,RAW,生,打碎、静置30分钟、焯水沥干、称重、充分搅拌,3,中,B5 非标准词 + A2b 生档案却写熟制步骤 + A4 同原料口径不一致,自由文本：焯水沥干 / 称重；档案用生数据，步骤却含焯水/蒸煮；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；确认是口径写错还是档案选错；统一口径
正式食谱,帽帽 的鲜食食谱 07/10,燕麦,谷类及制品,FOOD,DRIED,干,无添加即食燕麦、打碎、充分搅拌,2,中,B6 商品属性写进步骤 + B5 非标准词,这些片段不是厨房动作，而是商品属性：无添加即食燕麦；自由文本：无添加即食燕麦,移到原料规格/备注，不放在制备说明；归入受控词表或补进字典
正式食谱,当前名称：排敏：鸡肉7.2-7.6,上海青,蔬菜类及制品,FOOD,COOKED,熟,水煮或焯水后沥干、称重、打碎、充分搅拌,2,中,B5 非标准词 + A3 熟档案未写口径,自由文本：水煮或焯水后沥干 / 称重；没写按生重还是熟重称量,归入受控词表或补进字典；补「熟重」
正式食谱,李皮皮 的鲜食食谱 07/02,西葫芦,蔬菜类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
正式食谱,杠铃 的鲜食食谱 07/25,上海青,蔬菜类及制品,FOOD,COOKED,熟,水煮或焯水后沥干、称重、打碎、充分搅拌,2,中,B5 非标准词 + A3 熟档案未写口径,自由文本：水煮或焯水后沥干 / 称重；没写按生重还是熟重称量,归入受控词表或补进字典；补「熟重」
正式食谱,杠铃 的鲜食食谱 07/25,胡萝卜,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,来福 的鲜食食谱 08/06,南瓜,蔬菜类及制品,FOOD,RAW,生,去皮、去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,来福 的鲜食食谱 08/06,花椰菜,蔬菜类及制品,FOOD,RAW,生,去老梗、焯水后称重、打碎、充分搅拌,2,中,B5 非标准词 + A2b 生档案却写熟制步骤,自由文本：焯水后称重；档案用生数据，步骤却含焯水/蒸煮,归入受控词表或补进字典；确认是口径写错还是档案选错
正式食谱,来福 的鲜食食谱 08/06,秋葵,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,来福 的鲜食食谱 08/06,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,柠檬茶 的鲜食食谱 08/05,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,柠檬茶 的鲜食食谱 09/06,小米,谷类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,柠檬茶 的鲜食食谱 09/06,南瓜,蔬菜类及制品,FOOD,RAW,生,去皮、去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,柠檬茶 的鲜食食谱 09/06,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,桑迪 的鲜食食谱 07/25,胡萝卜,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,桑迪 的鲜食食谱 07/25,秋葵,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,桑迪 的鲜食食谱 07/25,紫甘蓝,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,灿灿 的鲜食食谱 08/17,糙米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,灿灿 的鲜食食谱 08/17,南瓜,蔬菜类及制品,FOOD,RAW,生,去皮、去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,灿灿 的鲜食食谱 08/17,亚麻籽,坚果种子类,FOOD,DRIED,干,打粉后充分搅拌,1,中,B5 非标准词,自由文本：打粉后充分搅拌,归入受控词表或补进字典
正式食谱,燕麦米比目鱼鸭肉,比目鱼,水产类,FOOD,RAW,生,去皮去骨，生重打碎后，搅拌均匀。,3,中,B4 口语化/标点 + B2 分隔符不规范 + B5 非标准词,句尾带句号，与其它文案不统一；用了半角逗号；自由文本：去皮去骨 / 生重打碎后 / 搅拌均匀。,去掉句号，统一用「、」分隔；统一改为顿号「、」；归入受控词表或补进字典
正式食谱,燕麦米比目鱼鸭肉,南瓜,蔬菜类及制品,FOOD,COOKED,熟,去皮、去瓤、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,燕麦米比目鱼鸭肉,西葫芦,蔬菜类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
正式食谱,燕麦米比目鱼鸭肉,胡萝卜,蔬菜类及制品,FOOD,COOKED,熟,留皮、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,燕麦米比目鱼鸭肉,紫甘蓝,蔬菜类及制品,FOOD,COOKED,熟,煮熟后沥水、打碎、充分搅拌,3,中,B5 非标准词 + A3 熟档案未写口径 + A4 同原料口径不一致,自由文本：煮熟后沥水；没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；补「熟重」；统一口径
正式食谱,燕麦米青花鱼鸭肉,南瓜,蔬菜类及制品,FOOD,COOKED,熟,去皮、去瓤、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,燕麦米青花鱼鸭肉,西葫芦,蔬菜类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
正式食谱,燕麦米青花鱼鸭肉(财宝),南瓜,蔬菜类及制品,FOOD,COOKED,熟,去皮、去瓤、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,燕麦米青花鱼鸭肉(财宝),西葫芦,蔬菜类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
正式食谱,燕麦鳕鱼猪肉,大米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
正式食谱,燕麦鳕鱼猪肉,大米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
正式食谱,燕麦鳕鱼猪肉,大米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
正式食谱,燕麦鳕鱼猪肉,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,燕麦鳕鱼猪肉,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,牛牛定制食谱,大米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
正式食谱,牛牛定制食谱,西兰花,蔬菜类及制品,FOOD,COOKED,熟,打碎、静置30分钟、焯水沥干、称重、充分搅拌,3,中,B5 非标准词 + A3 熟档案未写口径 + A4 同原料口径不一致,自由文本：焯水沥干 / 称重；没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；补「熟重」；统一口径
正式食谱,牛牛定制食谱,胡萝卜,蔬菜类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,牛牛的定制食谱（兔）20260914,小米,谷类及制品,FOOD,COOKED,熟,熟重、打碎、充分搅拌,2,中,B5 非标准词 + A4 同原料口径不一致,自由文本：熟重；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；统一口径
正式食谱,牛牛的定制食谱（兔）20260914,红薯,薯类及制品,FOOD,COOKED,熟,去皮、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,牛牛的定制食谱（兔）20260914,四季豆,蔬菜类及制品,FOOD,COOKED,熟,煮熟后沥水称重、打碎后充分搅拌,2,中,B5 非标准词 + A3 熟档案未写口径,自由文本：煮熟后沥水称重 / 打碎后充分搅拌；没写按生重还是熟重称量,归入受控词表或补进字典；补「熟重」
正式食谱,牛牛的定制食谱（鸭）20260914,糙米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,牛牛的定制食谱（鸭）20260914,藜麦,谷类及制品,FOOD,COOKED,熟,熟重、打碎、充分搅拌,2,中,B5 非标准词 + A4 同原料口径不一致,自由文本：熟重；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；统一口径
正式食谱,牛牛的定制食谱（鸭）20260914,花椰菜,蔬菜类及制品,FOOD,COOKED,熟,去老梗、焯水后称重、打碎、充分搅拌,2,中,B5 非标准词 + A3 熟档案未写口径,自由文本：焯水后称重；没写按生重还是熟重称量,归入受控词表或补进字典；补「熟重」
正式食谱,牛牛的定制食谱（鸭）20260914,白萝卜,蔬菜类及制品,FOOD,COOKED,熟,熟重、打碎、静置30分钟、充分搅拌,2,中,B5 非标准词 + A4 同原料口径不一致,自由文本：熟重；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；统一口径
正式食谱,牛牛的定制食谱（鸭）20260914,绿豆芽,蔬菜类及制品,FOOD,COOKED,熟,熟重、打碎、充分搅拌,2,中,B5 非标准词 + A4 同原料口径不一致,自由文本：熟重；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；统一口径
正式食谱,牛肉食谱,燕麦,谷类及制品,FOOD,DRIED,干,无添加即食燕麦、打碎、充分搅拌,2,中,B6 商品属性写进步骤 + B5 非标准词,这些片段不是厨房动作，而是商品属性：无添加即食燕麦；自由文本：无添加即食燕麦,移到原料规格/备注，不放在制备说明；归入受控词表或补进字典
正式食谱,犇犇 的鲜食食谱 08/03,胡萝卜,蔬菜类及制品,FOOD,RAW,生,去皮、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,犇犇 的鲜食食谱 08/03,西兰花,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,百万 的鲜食食谱 07/28,南瓜,蔬菜类及制品,FOOD,COOKED,熟,去皮、去瓤、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,百万 的鲜食食谱 07/28,西兰花,蔬菜类及制品,FOOD,COOKED,熟,打碎、静置30分钟、焯水沥干、称重、充分搅拌,3,中,B5 非标准词 + A3 熟档案未写口径 + A4 同原料口径不一致,自由文本：焯水沥干 / 称重；没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；补「熟重」；统一口径
正式食谱,百万 的鲜食食谱 07/28,红甜椒,蔬菜类及制品,FOOD,COOKED,熟,去籽、煮熟后称重、打碎、充分搅拌,3,中,B5 非标准词 + A3 熟档案未写口径 + A4 同原料口径不一致,自由文本：去籽；没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；补「熟重」；统一口径
正式食谱,秋菊 的鲜食食谱 06/28,亚麻籽,坚果种子类,FOOD,DRIED,干,打粉后充分搅拌,1,中,B5 非标准词,自由文本：打粉后充分搅拌,归入受控词表或补进字典
正式食谱,秋菊 的鲜食食谱 07/26,亚麻籽,坚果种子类,FOOD,DRIED,干,打粉后充分搅拌,1,中,B5 非标准词,自由文本：打粉后充分搅拌,归入受控词表或补进字典
正式食谱,秋菊 的鲜食食谱 08/02,亚麻籽,坚果种子类,FOOD,DRIED,干,打粉后充分搅拌,1,中,B5 非标准词,自由文本：打粉后充分搅拌,归入受控词表或补进字典
正式食谱,秋菊 的鲜食食谱 09/06,亚麻籽,坚果种子类,FOOD,DRIED,干,打粉后充分搅拌,1,中,B5 非标准词,自由文本：打粉后充分搅拌,归入受控词表或补进字典
正式食谱,秋葵藜麦米牛肉鸡胸,大米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
正式食谱,秋葵藜麦米牛肉鸡胸,藜麦,谷类及制品,FOOD,RAW,生,生重、打粉、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,秋葵藜麦米牛肉鸡胸,土豆,薯类及制品,FOOD,COOKED,熟,去皮、煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
正式食谱,秋葵藜麦米牛肉鸡胸,西兰花,蔬菜类及制品,FOOD,COOKED,熟,打碎、静置30分钟、焯水沥干、称重、充分搅拌,3,中,B5 非标准词 + A3 熟档案未写口径 + A4 同原料口径不一致,自由文本：焯水沥干 / 称重；没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；补「熟重」；统一口径
正式食谱,秋葵藜麦米牛肉鸡胸,胡萝卜,蔬菜类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,糙米三文鱼牛肉（敢敢）,糙米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、静置30分钟、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,糙米三文鱼牛肉（敢敢）,西兰花,蔬菜类及制品,FOOD,COOKED,熟,盐水/小苏打浸泡30分钟、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,糙米三文鱼牛肉（敢敢）,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,糙米三文鱼牛肉（敢敢）,绿豆芽,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
正式食谱,糙米三文鱼猪里脊(烟花),糙米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,糙米三文鱼猪里脊(烟花),紫薯,蔬菜类及制品,FOOD,COOKED,熟,去皮、煮熟后称重,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
正式食谱,糙米三文鱼猪里脊(烟花),胡萝卜,蔬菜类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,糙米三文鱼鸭胸鹿腿,糙米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,糙米三文鱼鸭胸鹿腿,糙米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
正式食谱,糙米三文鱼鸭胸鹿腿,糙米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
